Instance ID,Skeletal code,Co-authors associated with analyzing this sample,Skeletal element,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)","Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]","Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990�40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Confidence of archaeological and chronological contextualization for the genetic data for this individual,"Group ID (the suffix ""_lc"" indicates fewer than 15000 SNPs covered on the 1240k target set)",Included in population genetic analysis (also indicated if included in Figure 3),Locality,Excavation reference if available,Country or Region,Latitude,Longitude,Data type,Number of Libraries,Average coverage on autosomal targets,SNPs hit on autosomal targets,Genetic Sex,Family ID and position within family,Sum total of ROH segments >4cM from hapROH,Sum total of ROH segments >20cM from hapROH,Y chromosome haplogroup (called only for males with 1240K data and only if >50000 autosomal SNPs hit), mtDNA coverage ,mtDNA haplogroup only called if >2x coverage,mtDNA match to consensus if >2x coverage,Damage rate in first nucleotide on sequences overlapping 1240k targets for samples processed at Harvard; C->T_CpG_5 for samples processed in China,Xcontam ANGSD SNPs (only if male),Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and  SNPs > 200),ContamLD contamination 95% CI (Ccorrecting bias with damage-restricted sequences and only reported for samples covered by at least 100000 autosomal SNPs),Library type,LibraryID(s), Percent human sequences by library (computed on shotgun data) ,Qualitative assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18R21266.EC,18R21266,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone (cranial),Direct: IntCal20,4785,60,"2906-2702 calBCE (4230�25 BP, XA-15378)",Confident - A direct date matches the archaeological context,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.315457,49030,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),910,B4a2b1,"[0.992,0.996]",0.3312,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap44-18R21266,..,PASS (all reads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13887,1063 Burial 7,"Pinhasi, Ron; Matsumara, Hirofumi; Masato, Nishino",petrous,Direct: IntCal20,4032,42,"2191-1982 calBCE (3690�20 BP, PSUAMS-7947)",Confident - based on local pottery typology,Japan_HG_Jomon_brother.I13886,No (first degree relative of another higher coverage individual in the dataset),Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,1.206364,619741,M,"Japan, Rokutsu Shell Mound Family A (2 members) (I13886 and I13887 are brothers)",64,21,D1a2a3a-Z1570, 190 ,N9b1,"[0.991,1.000]",0.128,1955,"[0.001,0.010]","[0,0.015]",ds.UDG.half,S13887.Y1.E2.L1, .. ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13886,1062 Burial 6,"Pinhasi, Ron; Matsumara, Hirofumi; Masato, Nishino",petrous,Direct: IntCal20,4003,53,"2136-1959 calBCE (3665�20 BP, PSUAMS-7946)",Confident - based on local pottery typology,Japan_HG_Jomon,Yes,Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,2.421847,781046,M,"Japan, Rokutsu Shell Mound Family A (2 members) (I13886 and I13887 are brothers)",69,0,D1a2a3a-Z1575, 343 ,N9b1,"[0.990,1.000]",0.145,4542,"[0.003,0.008]","[0,0.006]",ds.UDG.half,S13886.Y1.E2.L1, 0.3433 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13884,1051 Burial 4,"Pinhasi, Ron; Matsumara, Hirofumi; Masato, Nishino",petrous,Direct: IntCal20,4351,48,"2472-2300 calBCE (3920�25 BP, PSUAMS-7944)",Confident - based on local pottery typology,Japan_HG_Jomon,Yes,Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,1.607519,700017,F,n/a (no relatives detected),43,0,n/a (female), 277 ,N9b,"[0.975,0.993]",0.136,n/a (female),n/a (female),"[0,0]",ds.UDG.half,S13884.Y1.E2.L1, 0.1881 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6341,"Burial 5, JOM_137","Pinhasi, Ron; Matsumura, Hirofumi",calculus,Context: Archaeological period,4200,144,1500-1000 BCE,Confident - The dating is based on multiple consistent 14C dates from the archaeological layer,Japan_HG_Jomon,Yes,Funadomari,..,Japan,45.373106,141.025458,1240K capture,4,0.064892,73215,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),D-F1344, 35 ,N9b1,"[0.933,0.965]",0.063,33,n/a (<200 SNPs),n/a (<100000 SNPs covered so too low coverage to compute),"ds.UDG.half,ds.UDG.half,ds.UDG.half,ds.UDG.half","S6341.E1.L1,S6341.E1.L4,S6341.E1.L5,S6341.E1.L2"," 0.00520,0.00021,0.00022,0.00022 ","PASS (the upper bound of the match rate to the mtDNA consensus is 0.965 but we deem the sample to be of high quality because the contamLD estimate after damage correction is [0,0])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13882,1049 Burial 1,"Pinhasi, Ron; Matsumara, Hirofumi; Masato, Nishino",petrous,Direct: IntCal20,3234,51,"1386-1212 calBCE (3025�20 BP, PSUAMS-7937)",Confident - based on local pottery typology,Japan_HG_Jomon,Yes,Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,1.007784,593417,F,n/a (no relatives detected),161,59,n/a (female), 143 ,N9b,"[0.985,0.997]",0.14,n/a (female),n/a (female),"[0,0.061]",ds.UDG.half,S13882.Y1.E2.L1, 0.5447 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13885,1061 Burial 5?,"Pinhasi, Ron; Matsumara, Hirofumi; Masato Mishino",petrous,Direct: IntCal20,3216,51,"1382-1134 calBCE (3015�20 BP, PSUAMS-7945)",Confident - based on local pottery typology,Japan_HG_Jomon,Yes,Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,0.168482,151401,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 27 ,N9b,"[0.984,0.999]",0.138,n/a (female),n/a (female),"[0,0.04]",ds.UDG.half,S13885.Y1.E2.L1, 0.2035 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13883,1050 Burial 2,"Pinhasi, Ron; Matsumara, Hirofumi; Masato, Nishino",petrous,Direct: IntCal20,2859,41,"984-835 calBCE (2770�20 BP, PSUAMS-7943)",Confident - based on local pottery typology,Japan_HG_Jomon,Yes,Rokutsu Shell Mound,..,Japan,35.55,140.157,1240K capture,1,0.62334,478771,M,n/a (no relatives detected),46,0,D1a2a3a1-CTS11032, 105 ,N9b2a,"[0.967,0.988]",0.139,709,"[0.000,0.008]","[0,0.009]",ds.UDG.half,S13883.Y1.E2.L1, 0.2338 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I12955,"AT_861, 680","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg; Erdenebaatar, Diimaajav; Kovalev, Alexey",petrous,Direct: IntCal20,3824,49,"1949-1774 calBCE (3545�20 BP, UCIAMS-226543, PSUG-5458)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Munkhkhairkhan MBC culture) match up; and the genetic data clusters this individual with another from the MBA Munkhkhairkhan cultural context which has a close but not quite overlapping 14C date (I6348). ,Mongolia_MBA_Munkhkhairkhan_1,Yes and plotted in Figure 3,"Zavkhan, Bayantes sum, Khukh Khushoony bom ??? ??????? ???, Barrow 3","Excavations: Kovalev A., Erdenebaatar D. 2007 Publications: ??????? ?., ???????????? ?., 2014 P. 205-210; Kovalev A., Erdenebaatar D., 2009. P. 160-163",Mongolia,49.7,96.8,1240K capture,1,4.692127,867683,M,Mongolia Family A (2 members) (I12506 and I12955 are 1st or 2nd degree relatives),30,0,N1a1a1-CTS7728, 572 ,D4i,"[0.981,0.998]",0.081,6847,"[0.003,0.006]","[0,0]",ds.UDG.half,S12955.Y1.E1.L1, 0.6386 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I11696,"1-055-1, 327","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar; Iderkhangai, Tumur-Ochir",petrous,Direct: IntCal20,7528,33,"5632-5484 calBCE (6655�30 BP, UCIAMS-226523, PSUG-5426)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Mongolia North Neolithic) match up; the genetic patterns place this individual into a group of directly dated individuals from the same archaeological context all of whom are directly dated to a consistent period; and the individual is genetically part of a group if three individuals who are all directly dated to consistent times and who are genetically detected as 2nd to 3rd degree relatives of each other.,Mongolia_North_N,Yes and plotted in Figure 3,"Bulgan, Khutag-Undur sum,  Marzyn khutul ?????? ?????, Tomb 1-055-1, skeleton 1","Excavations: Iderkhangai T., Erdenebaatar D. 2015 Publication: ?????????? et al. 2016",Mongolia,49.3925,102.7025,1240K capture,1,5.028318,866778,M,"Mongolia, Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1 Family A (3 members) (I11696, I11698, and I11697 are 2nd or 3rd degree relatives of each other)",60,30,C2a1a1-Z18161, 471 ,D4j,"[0.985,0.999]",0.092,6917,"[0.002,0.005]","[0,0.006]",ds.UDG.half,S11696.Y1.E2.L1, 0.5415 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I11698,329 [Pinhasi]; N3; Marzyn Khutul; kurgan No.1-055-1(4) [Tishkin],"Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar; Iderkhangai, Tumur-Ochir",petrous; tooth,"Direct: IntCal20; use this date instead of the previous and archaeologically unexpected date of 1106-898 calBCE (2820�30 BP, Beta-306037), which is also inconsistent with the dates of I11697 and I11696 in the same family",7520,38,"5630-5483 calBCE (6645�35 BP, UCIAMS-226525, PSUG-5428)","Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Mongolia North Neolithic) match up; the genetic patterns place this individual into a group of directly dated individuals from the same archaeological context all of whom are directly dated to a consistent period; and the individual is genetically part of a group if three individuals who are all directly dated to consistent times and who are genetically detected as 2nd to 3rd degree relatives of each other. Ignore the previous and archaeologically unexpected date of 1106-898 calBCE (2820�30 BP, Beta-306037), which is also inconsistent with the dates of I11697 and I11696 in the same family.",Mongolia_North_N,Yes and plotted in Figure 3,"Bulgan, Khutag-Undur sum,  Marzyn khutul ?????? ?????, Tomb 1-055-1, skeleton 2","Excavations: Iderkhangai T., Erdenebaatar D. 2015 Publication: ?????????? et al. 2016",Mongolia,49.3925,102.7025,1240K capture,2,10.66975,959767,M,"Mongolia, Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1 Family A (3 members) (I11696, I11698, and I11697 are 2nd or 3rd degree relatives of each other)",31,0,C2a1a1-Z18161, 641 ,D4b1c,"[0.962,0.984]",0.1095,9932,"[0.003,0.006]","[0,0.006]","ds.UDG.half,ds.UDG.half","S11698.Y1.E2.L1,S13699.E1.L1"," 0.52873,0.57535 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I11697,"1-055-4, 328","Pinhasi, Ron; Cheronet, Olivia; Sirak, Kendra;  Tumen, Dashtseveg ; Mijiddorj, Enkhbayar; Iderkhangai, Tumur-Ochir",petrous,Direct: IntCal20,7500,41,"5620-5481 calBCE (6610�30 BP, UCIAMS-226524, PSUG-5427)",Confident - The genetic data and direct 14C date are from the same exported petrous bone; the direct date and archaeological context (Mongolia North Neolithic) match up; the genetic patterns place this individual into a group of directly dated individuals from the same archaeological context all of whom are directly dated to a consistent period; and the individual is genetically part of a group if three individuals who are all directly dated to consistent times and who are genetically detected as 2nd to 3rd degree relatives of each other.,Mongolia_North_N,Yes and plotted in Figure 3,"Bulgan, Khutag-Undur sum,  Marzyn khutul ?????? ?????, Tomb 1-055-1, skeleton 4","Excavations: Iderkhangai T., Erdenebaatar D. 2015 Publication: ?????????? et al. 2016",Mongolia,49.3925,102.7025,1240K capture,1,4.89677,838638,M,"Mongolia, Bulgan, Khutag-Undur sum, Marzyn khutul, Tomb 1-055-1 Family A (3 members) (I11696, I11698, and I11697 are 2nd or 3rd degree relatives of each other)",42,0,C2a1a1-Z18161, 404 ,D4j8,"[0.974,0.992]",0.103,6394,"[0.002,0.006]","[0,0.014]",ds.UDG.half,S11697.Y1.E2.L1, 0.5814 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
